name,company,title,country
Andres Romero,Dale Networks,CEO / Founder,
Andres Tortarolo Fragola,VANQUISH Sports & Media Group,CEO,Spain
ANDRES FIERRO,ISTANBUL CHAMBER OF COMMERCE,STAFF,TÜRKİYE
ANDRES MARULANDA BOTERO,PRIMETIME MEDIA,GERENTE COMERCIAL,Colombia
ANDRES MENDOZA,WARNER BROS. DISCOVERY,"HEAD OF PROGRAMMING & ACQUISTION, HBO/MAX LATAM",USA
ANDRES URIBE,PRIMETIME MEDIA SAS,MANAGING PARTNER,Colombia
Andrés Badra,Venevision Media,Presidente,
Andrés Nieto Serpa,VIVAROMEDIA,BUSINESS DEVELOPER,Mexico
Andrés Tudela,ORIÓN FILMS,Producer,
Andrés Vázquez del Mercado,América Móvil,Director de Innovación Tecnológica,Mexico
Andres F. Mejia,Miami Institute,President,USA
Andrés Felipe Triana Ospina,LA_PLAYA_WK_LAB. / Miami Institute,SHOWRUNNER,
Angel Laureano,Color Visión,Director General,Dominican Republic
Angel Zambrano,CONDECO MEDIA,Owner,USA
Angela Poblete,Fabula,Regional TV director,Chile
Angela Vergara,CARACOL TELEVISION S.A.,ADMINISTRADORA EMPRESAS,Colombia
ANGELA SUAREZ,TIS STUDIOS,CONTENT & DEVELOPMENT VP,Colombia
Angelica Guerra,dynamo producciones,Productora Ejecutiva,
Angelica Potes,Mediastream,Management Consultant,
Angelina Rivero,NBCUniversal Telemundo Enterprises,Senior Director of Programming,USA
Angelique Boyer,,Actress,
ANGIE ARBESU,UNITEL,DIRECTORA DE PROGRAMACION Y PRODUCCION,Bolivia
Angus Yip,TVB (USA) INC,Senior Vice President,
Anne Schneegans,France tv distribution,International Sales Manager,
Antoine ERLIGMANN,ANIMAJ,SVP Global Content Distribution & Licensing,
Antonio Azzalini,Tunnel Produzioni Srl,CEO Buyer,Italy
Antonio Escobar,Megamedia,Business and Platforms Director,
Antonio Salume Dib,Netflix,Content Coordinator,
Arelys Carballo,TelevisaUnivision,VP Content Strategy - ViX,USA
ARIANA SAIEGH,GM Comunicaciones,showrunner,Argentina
Ariel Graizer,Rocstar sa,President and CEO,Argentina
Arthur David Purdy,Stingray,Chief Revenue Officer,Canada Canada
Arturo Chavez,Delart Distribution LLC.,Manager Partner,USA
Arturo Elias Ayub,América Móvil,"CEO América Móvil contenido, Alianzas Estratégicas UNO TV y Claro Sports",Mexico
Arturo Yepez,2blatam,CEO,Ecuador
Augusto Rovegno,Paramount,SVP for Content,
Aura Copeland,Chicas Guapas,,
Aurora Mohler,Olympusat,Chief Content Officer,USA
Avril Sagredo,Paramount,Business Development Sr Manager,
Ayah Hamouda,Takwene Information Technology,Regional Manager,
AYCA PINAR GEDIKOGLU,Turkish Radio Television Corporation,Sales Executive,
Barbara Adams,Netflix,"Licensing Manager, Brazil",Brazil
Beatriz Carvalho,Floresta,Head of Scripted Development and Production,
Beatriz OHiggins,IVC Networks,Dir Programming and Acquisitions,Venezuela
BEGUM ECE,ISTANBUL CHAMBER OF COMMERCE,SPECIALIST,
Ben Odell,3Pas Studios,CEO and co-founder,
Ben Samek,Banijay Americas,CEO,
Bernardo Ribeiro,New Regency,"VP, Distribution Latam",
BERNARDO MAUROVICH,Greenway Pictures,Executive Producer,
Betti Ortega,CASTALIA COMMUNICATIONS,VP Communications,USA
Bianca Lyndaker,NBCUniversal,Content Director,USA
Billy Rovzar,Lemon Studios,CEO,
Blanca Ponce,NUEVEMEDIA SA,Presidente,Argentina
Bob Seeman,VEEEU,VP Content,
Boris Abaunza Q,Epica Studio,Creative Director,
Brandon Brito,Apple TV+,Senior Programming Executive,USA
Brendan Fitzgerald,Secuoya Studios,CEO,Spain
Breno Sousa,Globo,Content Acquisiton,Brasil
Brian McGarvey,Crunchyroll,"Vice President, Global Business Development",
Brittany Wiscombe,Candlelight Media Group / Spark TV,COO - Director of Developement,USA
Bruce Boren,THR3 MEDIA GROUP,CEO,
Bruno de Lima Santos,"Coral Vision Europa, SA",General Manager,Portugal
C Sahab,Samsara Global,Directora General,
C. Said Schwarz,First Media,Business Development,USA
Cal Butler,El Chido Burrido,Actor and Writer,
Camila Wilches,Sony Pictures Television,"Head of Business Affairs Production, Latin America",USA
Camille Burgess,Euronews,Distribution Manager,
Camilo Acuña,Caracol Television,VP of Programming and Marketing,Colombia
Can Peker,Soho Formats,Executive Producer,USA
CANAN SEZGİN,ISTANBUL CHAMBER OF COMMERCE,STAFF,Türkiye
Candy Jenniffer Baez,ESTUDIANTE / MIAMI INSTITUTE,ESTUDIANTE,
Carissa Gaither,Shoreline Entertainment,"VP, Operations",
Carles Farrando,MediadataTV,General Manager,Spain
Carlos Armas,Fremantle,Scripted & Unscripted Development Exec.,Mexico
Carlos Cabrera,Cisneros Media,VP,USA
Carlos Candia,Red Uno,Production Manager,
Carlos Cediel,Apple TV+,Creative Executive,USA
Carlos Cusco,Ole Communications,Chief Content Officer / Board Member,USA
Carlos Cuscó,Foton. & Ole Communications,CEO & Chief Content Officer,USA
Carlos Fernandez,Canal+ Distribution,CEO America,USA
Carlos Martínez,Fox Corporation,"EVP and managing director, Latin America",
Carlos Mendes,Watch TV,CEO,
Carlos Mesber,We Love Entertainment,CEO,USA
Carlos Sanchez,Protege,"Head of Global Business Development, Media",
Carlos Alberto Galeano,Talento Nacional,Manager,
Carlos Rafael López,1h Media,Chief Content Officer,USA
Carmen Larios,LAR MEDIA,CEO,
Carmen Marino,Warner Bros.Discovery,Sr. Director Corporate Communications,United States
Carmen Román,Canal 13,Executive Producer of International Content,Chile
Carmen Stanton,NBCUniversal Telemundo Enterprises,"SVP, Finance",USA
Carolina Cordero,Buenos Aires Film Commission / IBEROFIC,Directora general,Argentina
Carolina Gomez,NBCUniversal Telemundo Enterprises,EA Telemundo Studios,USA
Carolina Gonzalez,Apple TV+,"Programming, Latin America",USA
Carolina Iacia,Globo,"Head of Acquisitions – Formats, Live Events and Literary Properties",Brazil
Carolina Leconte,Netflix,VP of content for Mexico and licensing for Latin America,Mexico
Carolina Márquez,Zapping,Content Manager - Distribución y Licencias.,
Carolina Padula,Warner Bros. Discovery,Director Acquisitions,USA
Carolina Santamaria,OneWrapp - Production Software Powered by AI,CEO,
Caroline Côté,Aetios Productions Inc.,Vice-présidente contrôle et développement corporatif,
Catalina Ramirez,ITV Studios,"VP, Sales - Americas, Global Partnerships",USA
Cecilia Mato,NAVAJO FILMS,Producer,
Cecilia Mendonça,,Senior entertainment executive — development & executive production,
CEDRIC VOLKMAN ROBINEAU BOURGNEUF,"GENIAL MEDIA, S.L.",CEO,
Celeste Galarza Galarza,Wapa Tv,Promotions Director & Programming Analyst,Puerto Rico
Cem Ors,Soho Formats,General Producer,
CEM ORS,ISTANBUL CHAMBER OF COMMERCE,STAFF,
Cesar Diaz,7A Media,CEO,
Cesar Luckie,Getty Images,Sales Manager,
Cesar Sabroso,A+E Networks Latin America,"SVP Marketing, Afiliados, Servicios Creativos y Comunicaciones",USA
CEYDA GÖNENÇ,KANAL D,HEAD OF PROGRAMS,Türkiye
Charlie Weiss,Weissemc,Head of Event Programming & Commercial Experience,
Charo Calvo,Atresmedia,Coordinadora de Programación de Canales Atresmedia,Spain
Chiara Francia,The Orlando Books,Screenwriter,
Christian Gabela,Gaumont USA,"SVP, Head of Spain, LATAM, US Hispanic",
Christian Gabela,Gaumont,"SVP, Head of SPLATAM and US Hispanic",USA
Christina Covarrubias,Sphere Abacus,Sales Consultant,
Christopher Rubi,NBCUniversal,Content Director,USA
Cida Fernandes,GAYAPOP,Director of acquisitions,
Cida Goncalves,8 STAR Entertainment,President,USA
Ciera Gillis,Google Cloud,Client director,
Cindy Teperman,Infinity Hill,Co-founder and president,USA
Clara Lope Vergara,Syndicate Media Group,VP Sales,
Clara Machado,Endemol Shine Boomdog,Executive Director Development and Current Scripted,Mexico
Claudia Bouche,"CLARO VIDEO, LLC",Sr. Manager Content Acquisitions,USA
Claudia Foghini,TelevisaUnivision,SVP Production Management,USA
Claudia Garcia,HMTV,Programming Content Senior Manager,USA
Claudia Morales,WAWA,Coordinator,United States
Claudia Ruiz,MediadataTV,LatAm Operations & Sales Manager,
Claudia Silva,Sony Pictures Television,VP Distribution,
Claudine Bayma,Kwai Brazil,General Manager,
Clint Stinchcomb,Curiosity Stream,President & CEO,USA
Consuelo Sandoval,Guatemala.com,Acquisitions Manager,
Cordelia Sklansky,JMP Verdant,,
Cosette Molina,Vodus Media,"Head of Digital Platform & Content development. AVOD, SVOD, PVOD, Fast Channels and short dramas",USA
Coty Cagliolo,Sony Pictures Television,"SVP & MD,  Production Latin America & US Hispanic",Mexico
Cristian Donoso,Invercine,Productor Ejecutivo,
Cristian Liarte Hernandez,MediaCrest,CEO & Producer,Spain
Cristian Rivero,PANAMERICANA,Producer,
Cristina Palacio,Alibi Films,CEO,Colombia
CRISTOBAL PONTE,SQUIRREL MEDIA,International Sales Director,
CYNTHIA ISMINO,TELEVISAUNIVISION / ViX,CONTENT PARTNERSHIPS & ACQUISITIONS,USA
Damian Craimowicz,Grey Juice Lab,Director Latam,Argentina
Damian Rodriguez,TelevisaUnivision,Programming Manager,USA
Damian Saul Romay,Sunshine Films,CEO,
daniel harroch,zylo,CEO,France
Daniel Benchimol,DAZN,"Director, Partnerships",
Daniel Castaneda,Toei Animation Inc.,"Director, Film Licensing",
Daniel De Simone,Millicom,Content Director,USA
Daniel Di Felice,TLN Media,Client Service Lead,Canadá
Daniel Domenjo,MOVISTAR PLUS+,CEO,
Daniel Hernandez,Secuoya Content Group,Director General Latam,Colombia
Daniel Martinez Siller,TelevisaUnivision,Gerente de Programación,Mexico
Daniel Rodríguez Risco,El Colchón Entertainment SAC,Director,
Daniel Segredo,Caracol Televisión,Director de ventas internacionales,Estados Unidos
Daniel Soto,Netflix Mexico,Sr. Manager Comms,
DANIEL GOYTIA,DG Social Impact Studies,President,
DANIEL PARRA,"CABLEPAR, INC",CEO,
Daniela Arguedas Salgado,Cinépolis,International Sales Sr. Manager,
Daniela Bagliani,Full Board Media srl,CEO and Co-Founder,Italy Italy
Daniela de Angel,n/a,Content Executive,
Daniela Santos Ortiz,EGEDA,Especialista en proyectos europeos y desarrollo de negocio,
DANIELLA Piquet,BKS/GAIAPOP,CEO,USA
Danilo Fonseca Herrera,Amazon MGM Studios,"Creative executive, Original Movies & Series",
Dario Turovelzky,TELEFE,CEO,Argentina
Darío Turovelzky,Telefe,CEO,
Dario Armando Garcia,Caracol Television,VICEPRESIDENTE DE PRODUCCION Y CONTENIDO,Colombia
Dave de Bie,Banijay Entertainment,Senior international format & production consultant,
David Barraza Ibañez,BM Studio.,Head of Content & Escritor,
David Davoli,Lucaville Global,Founder | CEO,
David Di Lorenzo,Future Today Inc.,SVP Partnerships & Content Acquisitions,USA
David Gamez,TelevisaUnivision,"Director, Content Strategy Programming",USA
David Israel,Esteno Media Services,VP Business Development & Operations,USA
