name,company,title,country
Hortensia Quadreny,Warner Bros Discovery,"VP, USH Programming & Planning Lifestyle & Factual Latam",USA
Hugo Mayorga,Toei Animation Inc.,"Director, Film Licensing",
Hugo Serra,ConUnPack,Buyer,Colombia
Hugo Tomás,Movistar Plus+,Director de entretenimiento y no ficción,
Hulda Acevedo,Olympusat,Vice President of Content Acquisitions,USA
Humberto Delmas,Telefilms,Sales Director,
Humberto Carlos Luongo Marcano,Luongo Insurance group llc / Miami Institute,Analista financiero,
Ian Victor Carrasco-Szulc,ShortsTV,VP EMEA & LATAM,United Kingdom United Kingdom
Idan Yacov,Imagine Media Ltd,Director,Israel
Ignacio Barrera Tyszka,Mas Ros Media,President,United States
Ignacio Corrales,Buendia Estudios,CEO,Spain
Ignacio Galliano,Telecom Argentina (FLOW),Jefe de contenidos - Adquisición y Desarrollo,
Ignacio Segura,Break Da Rules,Head of Creative,
IGNACIO (IÑAKI) ORIVE,BRANDS & RIGHTS 360,PRESIDENTE,
Ignacio Elian Ortuondo,Likan Studios SAS,CEO,
Ines Sahores,Go Global,Regional Manager Americas,
Ines Salles,Vimeo,Enterprise Account Executive Latam,
Iohamil Navarro Cuesta,Twenty Four-Seven Content,Founder/Creative Director,
İpek İnceoğulları,Raya Group,Sales Manager,
Iralyn Valera,Telemundo Studios,"Director, Future Development",USA
Irune Ariztoy,"Telemundo, NBC Universal",VP Unscripted Development,USA
Isaac Toussier,Lemon Studios,VP of Content,
Isabel Vallejo Diaz,Zapping,Country Manager Chile,
Israel Consuegra,Freelance,Productor,
Israel López,Mediacrest Entertainment,Head of Documentaries,Spain
Israel Rojas de leòn,RATING ENTERTAINMENT,Director de Adquisiciones y Programación,Dominican Republic
ivan ibarra,Canal 10,COO,Uruguay
Ivan Castell,Crew Films,Director/Productor,
Ivan Diaz,Filmax,Head of International,Spain
Ivan Pablo Jasiukiewicz,Trinity Contenidos,DIRECTOR,argentina
Ivonne Niño,In-To-Films,CEO,
Iza Piotrowska,wedotv,"SVP, Global Business Development.",United Kingdom
J. David Hoffman,Blackmagic Design,"Business Development Manager, Americas",
Jack Hobbs,reVolver Podcasts,President/CEO,
Jacky Castro,Telemundo Studios,"VP Production, Telemundo Studios",USA
Jacqueline Lopez-Silvero,"Programas para Television, Inc.",President,
Jaime Acero,TelevisaUnivision,Content Director,USA
JAIME AGUILAR ALVAREZ GONZALEZ,"CORPORATIVO TELEVISA, S.A. DE C.V.",Director General de Programación y Adquisiciones TelevisaUnivisión,Mexico
James Camargo De Alba,Cóncavo Films,Guionista - Director Creativo,
James Costos,Secuoya Studios,President,
James McNamara,Panamax Films LLC,Chairman,USA
James Woolley,Miami Film Festival,Executive Director,
Jamie Otero,Parrot Analytics,"VP, Partnerships",
Janaina Tadeu,LG,LATAM Content & Business Strategy Manager,Brazil
Jasmine Rezai,A+E Global Media,"Head of Content Sales, Latin America",
Javier Adrian,Produ,Sales director Mexico,
Javier Castany,Dianey+,Head of Unscripted Original Production,
Javier Fiorellino,Newsline Report,PRESS,
Javier García,"BANIJAY IBERIA, S.L.",CFO & COO,
Javier Goldschmied,TVN,Programming Director,Chile
Javier Lopez Casella,JCD STREAMING,CEO,
Javier Méndez,The Mediapro Studio,Head of Film & Scripted,Spain
Javier Nuche,Atresmedia,Director general del área de diversificación,
Javier Olivera,Canal 4 Uruguay,CEO,Uruguay
Javier Perez de Silva,Beta Entertainment Spain,CEO,Spain
Javier Pons,Telemundo Studios,Chief Content Officer & Head of Telemundo Studios,USA
JAVIER PEREZ TEUFFER,Endemol Shine Boomdog,COO,Mexico
JAVIER WILLIAMS,3PAS STUDIOS INC,PRODUCTOR EJECUTIVO,MEX / USA
JAVIER YRAOLA,TRADE COMMISSION OF SPAIN - ICEX,TRADE COMMISSIONER,Spain
Javiera Balmaceda,Amazon Prime Video,"Head of originals, Latin America, Canada and Australia",
JC Acosta,The Mediapro Studio,Head of The Mediapro Studio US / Canada,USA
Jean Uliczay,UBU Productions,,Germany
Jean-Noël Hugonin,Digital Virgo,"Global Head of Content, Partnerships & Monetization",
Jeannette Zepeda,Universal Cinergia Dubbing,Manager,
Jeff Pugsley,Imagem Filmes,Head of TV Distribution LATAM,
Jennifer Barany,Amazon Prime Video,Sr Content Acquisition Mgr,USA
Jennifer Gil,Telemundo Networks/Studios,"VP, Finance and Business Operation",USA
Jennifer Moscat,Vrio Corp.,Content Acquisition & OnDirecTV Director,USA
Jeronimo Sanchez,Cinemex,"Sr Manager for Distribution, Acquisition and Event Cinema",Mexico
Jess Peker,Soho Formats,Content Producer,
Jessica Bishop,WBD,Director of Acquisitions,USA
Jessica Orfely,Warner Bros. Discovery,Program Sourcing & Planning Specialist,
Jessica Ross,Chera TV,Director of public relations,
Jessica Rubio,Lilac Communications Inc,"Manager, Content Acquisition",USA
Jessie Behan,Aux Mode,President,Canada
Jessy Terrero,Cinema Giants,President,
Jesus Espinoza,M&F Television & Media Consulting,Content Acquisition Director,USA
Jesus Martin Tena,V.O. Team Media S.L.,Investor/General Manager,Spain
Jesus David Alvarez Andrade,MOVIEBOX PRODUCCIONES SAS,Productor Ejecutivo,Colombia
Jhoan Mujica,33 Films / Miami Institute,"Director, Showrunner",
Jimmy Arteaga Grustein,"& President of Programming, Promotion & Production at Wapa Tv",CCO of Hemisphere Media Group,Puerto Rico
Jimy Trujillo,,,
Joao Worcman,SOFA DGTL,VP of Acquisitions,Brazil
João Fonseca,Amazon Prime Video,Sr. Content Acquisition Manager,Brazil
João Tikhomiroff,Mixer Films,President,
Joaquim Candel,Prime Video,Partner Manager TVOD LATAM,
Joaquin Fanjul,The Intirinteam,CEO,
Joe Aboumrad,América Móvil,Director General Claro Sports y UNO TV,Mexico
Joe Uva,reVolver Podcasts,Chairman,
Johanna Helman,Fremantlemedia Mexico,Head of Production in Latin America,Mexico
Johanna Movilla,FOX,Senior Administrative Assistant,
Johanna Villota,Blue Ant Media,"Sales & Marketing Manager, Int'l Distribution",USA
John Attard,Showdog Studio,Founder,
John Baghdassarian,Oly/JB Streaming,VP Content Strategy & Acquistions,
John Huff,AMC Networks Latin America LLC,Managing Director,USA
Jónas Margeir Ingólfsson,ACT4,CEO,
Jonathan Bouzali,KUTER Films,Producer,
Jonathan Broughton,PlumResearch,Research director,
Jonathan Cuchacovich,Megamedia S.A.,Área dramática Internacional Mega,Chile
Jonathan Wul,Scarpetta Media,Director general,
Jonathan Zorrilla,Cinderbugz Films,Producer/Executive Producer,
Jordan Pinto,C21 Media,North American Editor,
Jordan Warkol,OTTera,"VP, Business Development",USA
Jorge Balleste,Future Today Inc.,Head of Acquisitions,USA
Jorge Edelstein,Yellow Kingdom,Head . Founder,
Jorge Fiterre,Condista,CEO & Founder,
Jorge Garro,Televisora de Costa Rica S.A.,Asesor Presidencia,Costa Rica
Jorge Gonçalves,SOFA DGTL,Business Development Director,Brazil
Jorge Granier,Rubicon Global Media,Managing Partner,USA
Jorge López Abella,Quinto Color,Productor,
Jorge Naranjo,NANA FILMS,CEO & Filmmaker,
Jorge Otero,iKartoons Animation,CEO,USA
Jorge Ruiz,Finconecta,CEO,
JORGE TIJERINA,WARNER BROS DISCOVERY,HEAD OF SCRIPTED CONTENT DEVELOPMENT FOR MEXICO AND COLOMBIA,Mexico
Jorge A Fiterre,CONDISTA,Partner,
Jose Arismendi,Cisneros Media,V.P. Programming Strategy,USA
Jose Calderoni,Paramount,SVP Streaming,USA
Jose Monroy,Library Kingdom Corp.,VP of Sales,USA
Jose Pagan,UPM Productions,Producer,USA
Jose Scheuren,Cinemat Inc.,CEO,USA
José Badini,AMC Networks International Latin America,VP de Programación & Adquisiciones - Movies & Series,Argentina
José Silva Pedro,"Coral Vision Europa, SA",CEO,Portugal
José Alonso Navarro,Cooking Media,international content buyer,Panama
Jose Angel Mayayo,INTERACTVTY,SENIOR ADVISOR,Spain
Jose Antonio De Brigard,Estudios RCN,President,Colombia
José Antonio Espinal,Somos TV,C.O.O,USA
José Antonio Fernández,RevistaPantalla.com,Director General y Editor,
José Antonio Salso Baratas,ATRESMEDIA,Head of Aquisitions and Sales,Spain
Jose Luis Woodhouse,MVS,CEO,
José Manuel Lorenzo,"DLO PRODUCCIONES E INVERSIONES, S.L.",PRODUCTOR,Spain
José Miguel Riedel,Beta Films,Ejecutivo de Ventas,
JOSEDAVID CORREDOR BECERRA,CANDELARIA CINE SAS,SOCIO FUNDADOR -PRODUCTOR,
Joy Ernanny,Amazon MGM Studios,Creative Executive,
Joyce Zylberberg,Screen Capital,Cofounder & Managing Director,Chile
Joysette Rivera,Tempo Media,CEO,
JP Garcia,Runtime Media,Head of Audience Development,USA
Juan Crespo,3C FILMS,Ceo,
Juan DU,Sichuan Media Group,North American Representative,
Juan Fernandez,Caracol Televisión,Productor,
Juan Garreton,TV+,Presidente,Chile
Juan Ponce,NBCUniversal Telemundo Enterprises,"SVP , Telemundo Studios",USA
Juan Santos,Wood Creek Road Productions,Founder,
Juan Trujillo,,,
Juan Uruchurtu,Perro Azul,Productor Ejecutivo,
Juan Carlos Sanchez,Family Playland Inc,Co-founder,USA
"Juan Ignacio ""Iñaki Vicente",Chilevision,Executive Director,Chile
Juan José Campanella,,"Screenwriter, director and producer",
juan manuel altamirano,Appear,Business Director,
Juan Manuel Dartizio,Black Sheep Productions,Head of content and development,
Juan Marcos Melo,VYCO,Co-Founder,Argentina
Juan P. Delgado,Estudios RCN,Legal,USA
Juan Pablo Carvajal,Talento Nacional,Director,
Juan Pablo Herranz,VPITV,Cameraman Technical Director,
Juan Pablo Ortiz,Quantico Films,Partner & Executive Producer,
Juan Pablo Posada,Estudios RCN,VP Production,Colombia
Juan Pablo Rincon,HispaniCast,CEO & Casting Director,
Juan Pablo Robert,YouTube Hispanic LATAM,Head of media companies,Mexico
Juan Pablo Solano Vergara,JAGUAR BITE,VP Production,
Juan Xavier Noboa,ECUAVISA,VP Contenidos,Ecuador
Juanjo Lopez,THE TINTIRIN TEAM,Executive Producer,
Jukka Kaivola,Yle Sales,Sales & Distribution,
Julia Orlievsky,360 Powwow LLC,Project Manager & Development,
Julia Osuna,Media Plan,Jefe de Ventas Internacionales,Guatemala
Julia Pacetti,JMP Verdant,,
Julia María Rincón,Epica Studio,Executive Producer,
julian rousso,Anima Films,President,
Julian Rigamonti,Black Cat Global Limited,CEO,
Juliana Arias Ardila,11:11 Films y TV,Directora de Contenido,Colombia
Juliana Barrera,Izen,Executive Producer - International Development,Spain Spain
Julie Hallberg,LGH Entertainment,Producer,Norway
Julieta Brunero,dynamo producciones,Directora de Contenido Ficción,
Julieta Piazza,The Walt Disney Company,Sr Manager Content Strategy Disney+,Argentina
Julio Bautista,Arel Holding,CFO,Guatemala
Julio Cabello,TelevisaUnivision,"Senior Director, Scripted Strategy • Programming Strategy",
Julio Neri,Cinemania Network,President,USA
Julio César Rodríguez,Paramount,Programming Manager,
Justin Tager,Miercoles Entertainment,Creative Executive/Acquisitions,
Kam Jey,Indigenius,Managing Partner,
KAMELA GIL DE MARES,INCOMSA.SA,GERENTE DE VENTAS,Colombia
Karen Barroeta,Imagine Klever,CEO,
Karen Juliao,Caracol Televisión,Senior Director International Marketing,
Karen Lamk Haddad,TelevisaUnivision,Analista y Coordinadora de Nuevos Formatos de Entretenimiento,
Karina Arbizu Ritchie,TCS El Salvador,Gerente de Programación,El Salvador
Karina Dolgiej,Grupo iZen,Head of International Business and Coproductions,United States
Karina Estrada,Media Plan,CEO,Guatemala
Karina Montoya,Tv Azteca,Programming Director,Mexico
Karla Puppo,Jack Studios Perú,General Manager | Executive Producer,
Karla Rodriguez,Goodshort,"Head of Talent Relations, PR & Fandom",
Kate Humphreys,Banijay,CCO,
Kathleen Prefontaine,Aetios Productions,"Director, Distribution & Development",
Katie Reilly,C21Media,Office Manager,
Katsi Colon,TelevisaUnivision (ViX),VP Business Affairs Latin America,
Kelly Oviedo,The Mediapro Studio,Development and Production Specialist,USA
Kenneth Arber,"CONVERGENT PRODUCTIONS, INC",Buyer International,
Kevin Kim,SBS International,President & CEO,
Khristopher Lorenzo,NBCUniversal,SVP Content & Acquisitions LATAM,USA
Kitt Rosenfield,Tubi,Content Acquisitions,USA
Kristina Razmerova,Fantawild Animation Inc.,Distribution Executive,
Kunal Wadhwani,Shemaroo Entertainment,General Manager,
Larry Adkins,VideoAge,PRESS,
Lasse Hallberg,LGH Entertainment,CEO & Producer,Norway
Laura Abril,"BUENDIA ESTUDIOS, S.L.",EVP FICTION AND GLOBAL BUSINESS DEVELOPMENT,Spain
Laura Fernandez,Visper Sas,Distribuidor,
Laura Fernandez Espeso,The Mediapro Studio,CEO,Spain
Laura Minarro,Buendia Estudios,VP of International Coproductions,Spain
Laura Rhodarmer,ITV Studios,"Head of Brand Partnerships, Americas",
Laura Stevens,C21Media,Head of Digital,Taiwan (Province of China)
Laura Tapias,Copyright Capital,Content Acquisition,USA
Laura Paola Gamper,LA PAGA,Creadora / Productora,
Lauren Behar,NBCUniversal,"Director, Content Acquisitions & VOD",USA
Laurens Drillich,EndemolShine latino,President,USA
Laxmi Lorenzo,Prime Video,"Senior Content Acquisitions Manager, Latam",
Leo Lavazza,360 Powwow LLC,CEO,USA
leonardo flores,Directv,VP Contenidos Propios Vrio Corp,Argentina
Leonardo Aranguibel,The Walt Disney Company Latin America,"VP, Production",USA
Leonardo Bigott,Panamericana TV,Gerente General,Peru
Leonardo Padrón,Leo Padron Productions,Escritor y showrunner,
Leonardo Pinto,Inverleigh,Director Client Parnertships USH & LATAM,
Leonardo Santhos,SDVC,Brazilian Portuguese Dubbing & Localization Lead,
Leonardo Zalcman,PlayTV,Vice-President,
Leonardo Zimbron,3Pas Studios,SVP International Coproductions and Sp Language Films,USA
Leonor Sotillo,TelevisaUnivision,"SVP, Scripted Content Strategy • Programming Strategy",
Leslie Andrade,Sony Pictures Television,"Director, Program Planning & Scheduling",USA
Leslie Cohen,The Mediapro Studio,Head of Global Acquisitions,USA
Leticia GODINHO,Series Mania,Deputy Director in charge of Business Development,France
Leyla Formoso,Nelvana International Limited,Consultant Sales Representative,
Ligia Trejo,NBCUniversal Telemundo Enterprises,"VP, Content and Programming, NBCUniversal Telemundo Enterprises",USA
Liliam Hernandez,Universal Cinergia Dubbing,CEO,
Liliana Castillo,Red Uno de Bolivia,Head of programming and adquisitions,Bolivia
Liliana Chavez,Televisa Univision,Senior Manager Content Strategy,USA
Lily Caputo,TLN Media Group Inc.,"Director, Programming",Canada
Lisayda Lopez,n/a,Productora,
Lisbeth Eriksen,TV5MONDE,Distribution and Marketing  Manager Latin America,
Lisette Osorio,Caracol Televisión,VP de Negocios Internacionales,USA
Lola Moreno,360 Powwow LLC,Director of Scripted & Executive Producer,
LOLI MIRAGLIA,SDO Entertainment,CEO & founder,Argentina
Lorena Alvarez,Canal 13,Jefa de Contenidos,Chile
Lorenzo Colina,VideoAge,PRESS,
Lorenzo Dunoyer,Mas y Mas Comunicaciones,Executive Producer and Director,
Lorenzo Orozco Valdes,"MVS NET, S.A. DE C.V.",Content Manager,Mexico
Lorenzo Wills,W Studios,COO,
Lourdes Ramos,Telemundo Studios,Executive Assistant,USA
Lourival Rodriguez,Sony Music Latin-Iberia,Director Development and Production,
Lucas Balmelli,TV Accion SA - Telefuturo,CEO,Paraguay
Lucas Green,Banijay Entertainment,"Chief Content Officer, Operations",
Lucas Jinkis,Zeppelin Studio Latin America,CEO,Argentina
Lucas Mentasti,SDO,Socio,
Lucas Soussumi,Brazilian Content,Executive Manager,
Lucas Veiga,Clube Filmes,Executive Producer,
Lucas Vivo,Intro Pictures Audiovisual Ltda,Ceo,
Lucca Salantino,TV Gazeta,Acquisitions Assistant,
Lucia Ugarte,Chicas Guapas TV,CEO & Founder,
Luciana Festi,OTTera Inc.,Business Development Latam,
Luciana Leroy,Leroy Consultancy,Licencing and Programming Manager,
Lucianna Kafati,Televicentro,Director of Acquisitions,USA
Luciano Zarlenga,Fabric,"SVP Data, for Origin Nexus & Origin Insights",
LUCIANO FOPPOLI,3C FILMS,Director General,Argentina
Lucy Scott,C21Media,Operations Director,
Luis Ara,Trailer Films,CEO,
Luis Cabrera,TTV News,Editor,
Luis Fernández,NBCU Telemundo Enterprises,Chairman,
Luis Fernandez Reneo,ALTAMIRA ENTERTAINMENT,Productor,
Luis Lopez,Pipeline Studios,CEO,
Luis Sabal,Sony Pictures Television,"SVP, Co-Networks Head, Revenues -Distribution & Networks",
Luis Stipanovic,PROVIDEO,CEO,Colombia
Luis Torres-Bohl,Mexicanal LLC,Founder,USA
Luis Venegas,Via X Films,Ceo,Chile
Luis Villanueva,Somos Group,President & CEO,USA
Luis Guillermo Villanueva,SOMOS Group,Chief Operating Officer,USA
Luisa Campos,Globo,Acquisitions Manager,
LUISA ORREGO,ZEBRACOM INTERACIONAL,General Manager,Colombia
Luismi Elizondo,LUMMI FILMS,Guionista y showrunner,
Luiz Bannitz,BTZ Films,Director,Brazil Brazil
Luiz Noronha,Fábrica Banijay Brasil e Mexico,MD & CCO,
Luiz Soares,Fatfish,BD Manager,Brazil
Luiz Filipe Figueira,The Chain,Cofundador y managing partner de contenido,
Luli Davalos,VANQUISH Media,Chief Content Officer,
Luz Aldazoro,Maricela Marulanda Management & Production Inc.,Content Director,United States
Lydia Yamina Segundo,Movie Avenue International / Streamix,Head of Content Distribution-Acquisitions,USA USA
Lydy Pinzon-Dadley,"National Captioning Institute, Inc. (NCI)",VP of sales & marketing,
M-K Kennedy,Studiocanal,EXECUTIVE MANAGING DIRECTOR TV SERIES,
Macarena Cardone,Invercine,Socia y directora ejecutiva,
MACARENA MOCHON,Hidden Stories,co fundadora,
Magda Martins,Kivi Connected TV,Director of Strategy and Operations,Brazil
Magdalena Godio Baez,Warner Bros. Discovery,Acquisitions Director,Argentina
Maggie Salas Amaro,Canela Media,Director,USA
Malena Roldan,LA PAGA,Productora,
Mamen Sala,France 24 TV,U.S. Correspondent,
Manny Miguez,Amazon,Content Acquisition,USA
Manny Ruiz,Minivela / Brilla Media Ventures,CEO,United States
Manuel Altman,Sf,VP  Business Development,
Manuel Belmar,Globo,Digital Products Director,
Manuel De Sousa,MIPCOM & MIP Cancun,Partnership and Business Dev Director,
Manuel Robledo,INTERACTVTY,"COUNTRY MANAGER, CHIEF BUSINESS EXECUTIVE",
Manuel Soto,ISOS Media Group,CEO,
Manuela Marulanda,Maricela Marulanda Management & Production Inc.,CEO,USA
MANUELA MANZANO,SQUIRREL MEDIA,DIRECTORA GENERAL DE CONTENIDOS,
Marc Paneque,"Cool Content Entertainment, Inc.",CEO,
Marcel Vinay,Albavision,Head of acquisitions,USA
Marcela Citterio,THE ORLANDO BOOKS,CEO,
Marcela Gonzalez,Albavisión,Evaluation and Acquisition Executive,Panama
Marcela Montoya,Netflix,"Manager Licensing, Content Acquisition LatAm",Mexico
Marcela Sánchez-Aizcorbe,WBD,"Director, Production Management",
Marcela Villegas,Unicanal S.A,Gerente de Contenidos y talentos,Paraguay
Marcello Coltro,NBCUniversal,"SVP Affiliate Relations, Mktg & Creative",USA
Marcello Zeni,Newco Pay TV,Vice President of Growth and Distribution,Brazil
Marcelo Assumpcao,InteracTV,Director,Brazil
Marcelo Bombau,Telefilms,Board Member,
Marcelo Fernández,Pink Panda Productions LLC,Director - Producer,Usa
Marcelo Rocha,Vimeo,VP of Sales and General Director,
Marcelo Tamburri,Independiente,"Ejecutivo de contenidos, productor y desarrollador independiente",Mexico
MARCELO WILKINS,SAETA CANAL 10,FINANCIAL DIRECTOR,Uruguay
Marcio Guilherme B. da Silva,Caracol Televisión,VICEPRESIDENTE DE NUEVOS NEGOCIOS,Colombia
Marcio Roberto de Moraes Filho,BF Distribution,Sales Director,Brazil
Marco Ibarra,2 BE NAMED LLC,Managing Partner,USA
Marco Martinez,Caracol Televisión,Administrative Manager,Estados Unidos
Marco Antonio Damian Garcia Perez,Cinépolis,Deputy Director Alternative Content and Event Cinema,
Marcos Gorban,Canal 13 Chile,Executive Producer,Argentina
Marcos Santana,Mas Ros Media,Founder,
Marcos Scherer,Imagem Filmes,CEO,
Margarida Pereira,TVI - Televisão Independente,Director of Acquisitions,Portugal
Mari Urdaneta,200% Media,Founder / CCO,
Maria Castillo,TC TELEVISION,GERENTE DE PROGRAMACION,Ecuador
Maria Pérez Bellière,RX FRANCE,Director MIP CANCUN,
Maria Rua Aguete,OMDIA-INFORMA,Head of M&E,
Maria Soto,ISOS Media Group,President,
Maria Valenzuela,Brisa Media,Founder and general manager,Spain
Maria Zuleta,Caracol Televisión,ACQUISITIONS DIRECTOR,Colombia
MARIA JIMENEZ,TOTALPLAY,Content Acquisition Manager,
María Badillo,NBCUniversal Telemundo Enterprises,VP Casting Primetime Unscripted & Specials,
María Priego,EGEDA,Desarrollo de Negocio,ESPAÑA
María Belén Herrera Correa,Televisión Nacional de Chile,Head of Content Acquisition,Chile
Maria Cecilia Presto,SAETA TV CANAL 10,Head of Acquisitions,Uruguay
Maria Chiara Duranti,FormatBiz,Founder,Italy
Maria Eugenia Muci,VIP 2000 TV,Producer,
María Gabriela Díaz Lozano,TVN Media Panamá,Acquisitions Manager,Panama
Maria Isabel Vilcapoma Arone,Cable Red Peru,CMO,Peru
Maria José Figueroa,Guatemala.com,Programming Manager,
Maria Lucia Gil,Incomsa,Buyer,Colombia
Maria Paula Bustamante,Caracol Television,DIRECTORA DESARROLLO DE CONTENIDOS,Colombia
MARIAMAR MIRANDA ESTRADA,PARAMOUNT INERNATIONAL,VICE PRESIDENT CONTENT STRATEGY AND PROGRAMMING,Mexico
Mariana Fried,PX Sports,Manager Argentina & Cono Sur,Argentina
Mariana Oliva,Maria Farinha Filmes,Partner and Co-CEO,
Mariana Perez,The Walt Disney Company Latin America,VP Development & Production,Argentina
Mariana Vargas Guizar,Dynamo Contenidos,Directora Entretenimiento,
Mariano Aragón,RMVPlay,Business Advisor,USA
Mariano Calasso,Tempo Media,CCO,
Mariano Cesar,Warner Bros Discovery,"SVP General Entertainment Original Content and Programming Strategy, Warner Bros. Discovery Latin Am",Argentina Argentina
Mariano Kohan,Navajo Films / Intro Pictures,Producer,
Mariano Kon,Screenhits TV,"VP, Content & Business Development, GM Lat Am",
Mariano Mosca,Canal 4 Uruguay,Gerente de Programación,Uruguay
Mariano Rosón,Nitro Group,Manager of Acquisition,USA
Mariano Suez,Offline Sports,Producer,
Mariano Varela,Claxson / Yulgok Media,CEO,
Marias Recarte,EN CERO COMA (FREMANTLEMEDIA ESPAÑA SA),Productora Ejecutiva/Directora Contenidos,
Maribel Ramos,Produ,Multimedia Journalist,
Maricarmen Szeszko,Iluminacion Studios,Founder/CEO,United States
Maricela Marulanda,Maricela Marulanda Management & Production Inc.,Talent Manager,
MARIE LEGUIZAMO,BANIJAY MEXICO & U.S. HISPANIC,MANAGING DIRECTOR,Mexico
Mariel Garcia Spooner,HELLO OCTOBER,Producer - Director,
Mariela Mastrangelo,Kontrol Productions,Executive Producer,
Marina Del Canto,MC Films,VP of Content,Chile
Marina Dimitrius,Hemisphere Media Group,Vice President Pay TV and Digital Networks,USA
Marina Grasso,Ginga Pictures,Executive Producer,
Mario Villani,TELEVISAUNIVISION,SVP Streaming Strategy,USA
Marisol Amaya,Paramount Global,VP Acquisitions Latam All Platforms,USA
Maritere Ysern,ArYse Legal Studio,Attorney,
Marlon Quintero,CIC Media LLC,Managing Director,USA
Marrysa Moyer,StreamTV Show,Senior Business Development Manager,
Martha Godoy,Godoy Entertainment,Content Director,USA
Martin Halac,Alton River Media,Executive Director,
Mary Ann Halford,Halford Media Advisory,Managing Principal,
Mary Luz Rondon de Parra,"CABLEPAR, INC",CEO,
Mateo Cardoso,Canal 12,Gerente General,Uruguay
Mateus Muradian,Amazon,Head of Content Acquisition - Pan Regional,USA
Mathurin Beauvert,AMPERSAND,Head of Fiction,
Matthew Rosenstein,MIPCOM Cannes / MIP Cancun,Director Buyer Relations and Communications,
Mauricio Almeida,Watch TV,President,
Mauricio González Roque,SIM MX TV,Acquisition & Distribution Manager,Mexico
Mauricio Zubiri,Plim Plim,VP Music and Audio,
Maurício Fittipaldi,CQS/FV Advogados,Partner,
Mauro Fabbricotti,Full Board Media Srl,CFO and Co-Founder,Italy
Mauro Pelaez,AMC Networks International Latin America,Programming and Acquisitions Manager,Argentina
Max Kehoe,Amazon Studios,Scripted Executive,
Maximiliano Lasansky,Pampa Films,Productor general,
Mayedurimi Larotonda,"The Thunder Films, Llc / MiamiInstitute",Director/ Screenwriter / Producer,USA
Mayela Frank,Prime Video,Senior Content Aquisitions Manager,
Mel Chapaval Lebensztajn,Ginga Pictures,Executive Producer,
Mel Quintans,Telemundo Studios,"Manager, Planning & Control",USA
Melody Regalado,Netflix,Director of PanRegional Comms Latam,
Mercedes Ezpeleta,Blanco & White,CEO,
Mercedes Feu,Paramount Global,Acquistion Sr Director Southern Cone,Argentina
Meryem Simsek,Library Kingdom Cooperation,Acquisition Assistant,USA
Metzli Mendoza,Fremantlemedia Mexico,Research and Development Executive,Mexico
Mia Beeching,NBCUniversal,Research Manager,United Kingdom
Mia Hodgson,C21Media,Events manager,United Kingdom
Micaela Furszpan,Scarpetta Media,Manager Assistant,
Micaela Napadenschi,Deepdub,Account Executive,
Michael Rafferty,Canela Media,Co Founder/COO,USA
Michel Evans,LG,"Head of CTV Engagement and Content, Spanish Speaking LATAM",
Michelle Alberty,Paramount International,"SVP, Content & Brand Strategy MTV Entertainment Group Latam",USA
Michelle Avalos,TelevisaUnivision,"Manager, Content Partnerships at ViX",USA
Migdalys Silva,Paramount,VP Brand Lead for Nickelodeon Latin America,USA
Migue Wiernes Angeluk,We Latam,Founder and CEO,Argentina
miguel clutterbuck,Artear,coordinado,Argentina
Miguel Bañón Kelley,Spotify,"Director, PR & Communications",
Miguel Rivera,Cinépolis,Global VP of Content and Programming,Mexico
Miguel Rosenfeld,Arcadia International Corp.,President,USA
Miguel Toral,El Rugido producciones,Director General,Spain Spain
Miguel Torres-Bohl,Castalia Communications,VP Sales & Marketing Latam,USA
Miguel Valle Peñacoba,THE MILK.es,Creator & Producer,
Mike Beale,ITV Studios,"MD, Global Creative Network",
Mila Mayi,RTVE,Acquisitions Director,Spain
MINE GUNES,ISTANBUL CHAMBER OF COMMERCE,UNIT MANAGER,
minerva ñiguez,inwwo.com,Innovation Content Manager,Spain
Mingfen Lee,C21Media,Sales,
Mireia Carrillo,Zinko Media,"Founder, CEO | Executive Producer",
Miriam Luciow,FOX Entertainment,"VP, Global Content",USA
Moira Mc Namara,LEDAFILMS,Director of Sales,
Moises Chico,Stingray,Head of Sales Latin America,Canada
Monica Albuquerque,NBCUniversal Telemundo Enterprises,"Senior VP, scripted content and development",USA
Monica Gonzalez-Piriz,Liberty Latin America,"Senior Director, Programming and Carrier Services",USA
Monica Gorghetto,VideoAge,PRESS,
Monica Pimentel,WBD,Head of Content,
MONICA Sanchez Colorado,"Global Foundation of Arts, Science and Technology",International Director,
Mónica Aguirre,Black Sheep Productions,Founder,USA
Mónica Martínez,Estudios RCN,Gerente de programación estratégica,
Monika Burdier,RATING ENTERTAINMENT,Marketing Manager,Dominican Republic
Moyses Macedo,Record,Acquisition Director,Brazil
Mr. David Kao,Ina Taiwan Film Production,Content & Marketing Director,
Ms. Hsinmei Cheng,Ina Taiwan Film Production,CEO,
MUNIR USTUN,ISTANBUL CHAMBER OF COMMERCE,EXECUTIVE BOARD MEMBER,
Murray Lipnik,The Swen Group,President,
MUSTAFA ILBEYLI,Turkish Radio Television Corporation,Head of Advertising & Sales,
Nacho Gil,Spotify,Head of Marketing,USA
Nani Correia,Endemol Shine Brasil,CEO,Brazil
Nani Freitas,EndemolShine Brasil,CEO,
Nastassia C. S.,Mixtly by debi,Co-Founder CEO,
Natalia Juliao,Paramount,"VP, Content Strategy & Programming",
